epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
71,0.772036426,5.023290999,0.868578153,3.19731161,6.741119176,98.57344627,0.534042064,2.231927216,10.58220506,1.773823947,5.709652975,11.90501899
72,0.809765235,5.070096552,0.921846069,3.194183856,6.744303554,98.71525168,0.604675151,2.238895744,10.59334092,1.788415834,5.711165816,11.90497652
73,0.786707737,5.032084957,0.88197235,3.208692744,6.743939221,98.63645434,0.560291298,2.227407321,10.5756826,1.775902659,5.706767365,11.89417243
74,0.769055635,5.115397051,0.898861298,3.185369074,6.757716835,98.49322438,0.499796821,2.229035273,10.56841046,1.775314249,5.709759146,11.89707965
75,0.7668918,5.010686293,0.877684839,3.198260441,6.736133993,98.59763384,0.54667131,2.22512316,10.56926608,1.769057829,5.706770718,11.89292669
76,0.766964909,5.004388131,0.859805988,3.224813938,6.76818192,98.6332655,0.563888019,2.22507026,10.5742979,1.767280027,5.698995665,11.89103499
77,0.761224981,5.017107837,0.847227266,3.201923147,6.721235812,98.73995185,0.601410866,2.22103186,10.56660935,1.764769144,5.696600303,11.88921481
78,0.764021091,5.038780756,0.846102247,3.175081313,6.722697616,98.59820604,0.54026912,2.22036317,10.55654101,1.76064508,5.685663968,11.87513024
79,0.760420924,5.002381168,0.842753006,3.184917197,6.720992923,98.69230986,0.575010478,2.219931595,10.54837637,1.757814679,5.680848658,11.88129038
80,0.763026858,5.017440766,0.855484279,3.175374866,6.713932753,98.60879183,0.542207574,2.219839767,10.54622591,1.761927512,5.683214962,11.88355759
81,0.756502245,4.996575192,0.865059597,3.175489604,6.704118848,98.62577319,0.549117848,2.215756848,10.54907911,1.757056452,5.68394959,11.87314913
82,0.757512776,4.995330982,0.839968873,3.174383193,6.702810526,97.66086936,0.486396765,2.213547565,10.53927831,1.755539328,5.672350898,11.86068431
83,0.756023498,4.985594228,0.856964691,3.191120178,6.705363095,98.64527583,0.553024886,2.212781459,10.52897528,1.758639794,5.671034381,11.87011078
84,0.763313891,5.011764877,0.889688646,3.17815803,6.698153168,98.51106405,0.499974843,2.212688886,10.53581089,1.75683232,5.677935481,11.86207086
85,0.752690481,5.006983168,0.863599638,3.167394921,6.699489057,98.52222204,0.504405424,2.209337801,10.53778969,1.752359066,5.667299777,11.86005995
86,0.753748277,4.972675368,0.829623928,3.180688992,6.694575399,97.72287607,0.514807366,2.208460495,10.52191839,1.747152228,5.660378933,11.86020076
87,0.755285285,4.984560907,0.845827991,3.203831241,6.687873602,97.75141478,0.524908165,2.208524384,10.52857362,1.748158727,5.662171915,11.85241118
